Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
02/28/2023,SPRX,NVDA,67066G104,NVIDIA CORPORATION,1339.00,235.010000,314678.39,11.03%,2853420.000000,200000,8,
02/28/2023,SPRX,NET,18915M107,CLOUDFLARE INC,5078.00,60.260000,306000.28,10.72%,2853420.000000,200000,8,
02/28/2023,SPRX,ZS,98980G102,ZSCALER INC,1784.00,131.840000,235202.56,8.24%,2853420.000000,200000,8,
02/28/2023,SPRX,SNOW,833445109,SNOWFLAKE INC,1492.00,154.650000,230737.80,8.09%,2853420.000000,200000,8,
02/28/2023,SPRX,CRWD,22788C105,CROWDSTRIKE HLDGS INC,1645.00,120.650000,198469.25,6.96%,2853420.000000,200000,8,
02/28/2023,SPRX,AMZN,023135106,AMAZON COM INC,1803.00,93.760000,169049.28,5.92%,2853420.000000,200000,8,
02/28/2023,SPRX,HUBS,443573100,HUBSPOT INC,394.00,388.580000,153100.52,5.37%,2853420.000000,200000,8,
02/28/2023,SPRX,SHOP,82509L107,SHOPIFY INC,3632.00,40.480000,147023.36,5.15%,2853420.000000,200000,8,
02/28/2023,SPRX,MRVL,573874104,MARVELL TECHNOLOGY INC,2934.00,44.310000,130005.54,4.56%,2853420.000000,200000,8,
02/28/2023,SPRX,FCX,35671D857,FREEPORT-MCMORAN INC,3024.00,40.110000,121292.64,4.25%,2853420.000000,200000,8,
02/28/2023,SPRX,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC CL A,1638.00,73.720000,120753.36,4.23%,2853420.000000,200000,8,
02/28/2023,SPRX,ROK,773903109,ROCKWELL AUTOMATION INC,409.00,294.390000,120405.51,4.22%,2853420.000000,200000,8,
02/28/2023,SPRX,PANW,697435105,PALO ALTO NETWORKS INC,585.00,188.510000,110278.35,3.86%,2853420.000000,200000,8,
02/28/2023,SPRX,U,91332U101,UNITY SOFTWARE INC,3227.00,29.640000,95648.28,3.35%,2853420.000000,200000,8,
02/28/2023,SPRX,DDOG,23804L103,DATADOG INC,1165.00,77.600000,90404.00,3.17%,2853420.000000,200000,8,
02/28/2023,SPRX,GXO,36262G101,GXO LOGISTICS INCORPORATED,1394.00,48.450000,67539.30,2.37%,2853420.000000,200000,8,
02/28/2023,SPRX,ANSS,03662Q105,ANSYS INC,193.00,295.680000,57066.24,2.00%,2853420.000000,200000,8,
02/28/2023,SPRX,JOBY,G65163100,JOBY AVIATION INC,10667.00,4.550000,48534.85,1.70%,2853420.000000,200000,8,
02/28/2023,SPRX,RIO,767204100,RIO TINTO PLC,685.00,69.160000,47374.60,1.66%,2853420.000000,200000,8,
02/28/2023,SPRX,ADSK,052769106,AUTODESK INC,192.00,196.680000,37762.56,1.32%,2853420.000000,200000,8,
02/28/2023,SPRX,JD,47215P106,JD.COM INC,800.00,44.740000,35792.00,1.25%,2853420.000000,200000,8,
02/28/2023,SPRX,Cash&Other,Cash&Other,Cash & Other,16242.86,1.000000,16242.86,0.57%,2853420.000000,200000,8,Y
